name,sumPlacement,amountJoined,amountTopped
MikeyPie,147,3,0
Swixiz,197,5,0
J4Ncp,246,6,0
SK,384,12,0
Yaemori,147,3,0
Stocky,147,3,0
Frøst,14,7,7
Amalthus,76,5,3
CaptainCarson,8,2,2
xXBig_Boner_Owner_39Xx,10,2,2
LMan,209,15,9
YaBoiJT,146,6,2
Stronghold,18,2,0
Sir Luscious Left Foot,123,5,1
Xx_1tchy_84ll5_xX,52,4,0
Ra,18,2,0
BeastModePaul,26,2,0
Zozo3804,26,2,0
dwizar1,26,2,0
Dark4orce,60,4,0
Juami,34,2,0
milkcup!,34,2,0
Shdwemp,34,2,0
Mista-M00,34,2,0
LocoDz,214,6,0
Taco Tony,50,2,0
PatchSlaw7,50,2,0
Taz,50,2,0
Sho,171,7,2
s,50,2,0
Purin,50,2,0
Cheesebslls,66,2,0
a bottle of fiji water,66,2,0
Ultraasher,66,2,0
NamiLover,66,2,0
Chariot,66,2,0
Von Solo Dragon,66,2,0
Sonic_Arrow,66,2,0
SrJorjoroY,173,7,2
KING,436,12,0
TheChosen1,66,2,0
Stage Hazard,66,2,0
TapuCocoa,262,6,0
Bloomy,166,6,0
BigBoss,747,47,39
MasterKill,110,5,3
Radiance!,98,2,0
Trig Daddy,98,2,0
Ketra,98,2,0
TheXDestroyer,98,2,0
Capsid,98,2,0
Chris,132,4,0
JDV,132,4,0
Velasquez,196,4,0
Jr,98,2,0
Nalga,715,43,5
Yael,829,35,2
MissyyMayy,60,4,2
SickeningFever,49,5,5
vacaTHEkiller,112,4,2
MrM,14,2,2
Javi,315,35,33
Edu,151,7,0
YIGA,134,6,0
cesarXfire,18,2,0
Sout,1768,40,0
JR.,176,8,0
Gohan McCloud,26,2,0
Celtic,34,2,0
SBx|Lenroy,34,2,0
nava,84,4,0
Zword,135,7,0
RadioOvni,38,4,2
HACHi,1288,40,0
Pi,34,2,0
Topo,34,2,0
Paulovsky,50,2,0
Namiko_Z,50,2,0
Lexissu,50,2,0
Gravity,182,6,0
Many,1132,44,1
JoseGP2077,50,2,0
Kael,100,4,0
Gokunzalez,66,2,0
Silver,256,17,10
Litt,99,3,0
DNY,66,2,0
Wazamamerto,66,2,0
|Ceballos|,66,2,0
Shawnz,66,2,0
Istva,232,8,0
RichrRo,132,4,0
EmmaHG,66,2,0
Teek,66,2,0
Gungnir,116,4,0
TitoR,66,2,0
Lucas,132,4,0
Yagui,98,2,0
Tsuna,98,2,0
Pollux,164,4,0
TYR,98,2,0
Jero,98,2,0
BandanaSW,98,2,0
Ikesaac,173,5,0
Kazuhira,98,2,0
GenuineProphet,98,2,0
Guilheww,388,18,4
R De Alma,98,2,0
Mayoneso,98,2,0
Rito26,98,2,0
Winijumbo,98,2,0
Xerzal,118,10,10
Neutral,3,1,1
Rozden,16,3,3
Skittles,5,1,1
Lapras,137,5,1
AC3GAM3R,7,1,1
skeptical,72,6,6
Taka,9,1,0
Doogy,75,3,0
L.A.W,43,3,0
SIke,9,1,0
PlusleGod,111,3,0
Snowski,111,3,0
nano,13,1,0
Lilac,13,1,0
Cedric,17,1,0
squirrel,17,1,0
MainEvent,17,1,0
zickser,133,5,0
Puchi,17,1,0
Kelsey,17,1,0
Cyphn,17,1,0
Strato,17,1,0
ReeBassist,25,1,0
NiceOneBakery,25,1,0
Straitblanchin,25,1,0
noots,25,1,0
Trojan,25,1,0
Mako,42,2,0
Skype/tenshinX,25,1,0
suzie crabgrass,59,3,0
Seventh Deven,33,1,0
Pi9876,33,1,0
-HP-,33,1,0
Frog,33,1,0
Pazuzu,33,1,0
TDSP,213,5,0
cgt,66,2,0
Gamer,33,1,0
0-2 andy,33,1,0
Star,33,1,0
Cortex,176,8,0
KarZ,33,1,0
JJTheB,131,3,0
Rageface090,33,1,0
Buff Mac,353,9,2
Supermario,49,1,0
Neki,49,1,0
RandomEDay,49,1,0
heyman112,115,3,0
Hshadic123,49,1,0
Desk,2,2,2
RyzenNess,102,4,2
aquaze,231,11,2
Falkion,164,14,7
Dark Falcon,15,7,7
Sweshi,541,17,4
Yrc,40,4,2
BroKen,525,21,2
StriderX,84,4,2
Poncho,52,4,2
ZeppPuff,36,4,2
Deliboid,26,2,2
Grimturtle,26,2,2
Bmm404040,162,16,16
Lavender,191,7,2
Ikana,155,11,2
BiscQuit,34,2,0
Moxie,34,2,0
pluie,34,2,0
_ZoroCR_,34,2,0
Lenks,34,2,0
SATA,84,4,0
Saturnn,50,2,0
fatcat,50,2,0
Antithesis,50,2,0
Miruku,64,4,2
Mr.Raisin,50,2,0
Oni,66,2,0
DustyNuts,66,2,0
| Mudskip,66,2,0
Soy,66,2,0
Goofy,66,2,0
KuNoah,165,5,0
Mathematics,166,6,0
nazura,307,16,10
ANJELLOH,614,22,0
Frost,66,2,0
Shatdabot,165,5,0
Raptor,198,6,0
Eyas,66,2,0
Gunker,98,2,0
Mugiwara,98,2,0
hollow,98,2,0
Mabel,538,26,9
Am3thyst,196,4,0
FoughtHBoxWithNoLan,393,13,2
MrWii,98,2,0
Conch,263,7,0
Zigisfredo,394,10,0
Sebydoodle,131,3,0
Dawsk,214,6,0
Biscotto,98,2,0
CK,98,2,0
jo,1,1,1
Babino,2,1,1
Safzai,3,1,1
Sky,237,10,1
Euphoria,103,3,1
Fhantum,300,8,1
_trey5,91,5,1
Radical,34,2,0
| Schiikk15,107,3,0
Arcus,9,1,0
jason,13,1,0
Trips,13,1,0
SmilEyOmLet,13,1,0
NoNeptune,133,5,2
Astori,42,2,0
diamondupree,158,12,6
Vykedaddy,263,7,0
NT,30,2,0
RiasMemeGod,115,3,0
Noxl,17,1,0
Orasorb,25,1,0
