name,sumPlacement,amountJoined
Stocky,49,1
Flair,65,1
| Just Blue,65,1
Br1 AV,65,1
Likwd Dj,65,1
possibly cannot be noah,65,1
Paula,65,1
Thepolishshibe,65,1
Niccorjai,65,1
SHRick15,65,1
Ekiloxe,65,1
BIGGMEAT,450,2
Chocolate Milk,65,1
Kegaku...?,65,1
Hungrybox's cat,65,1
Ground,65,1
RattleLad,65,1
Bluebomberman,65,1
csia,65,1
Jin Schnee,65,1
Hurricane,65,1
CatNip+,65,1
ImV4Vin,65,1
Bruho,65,1
E T han,65,1
Derpington,65,1
Harrisonjersey,65,1
KiddKyu,65,1
Narra,65,1
NIMBUS,65,1
Anality,97,1
TidalTao,259,3
Chez,97,1
Freewifi,97,1
Caden004912,97,1
Queen,97,1
R U OKAY?!?!?!,97,1
Yishi63,354,2
Rageface090,130,2
CCarver,97,1
Cake,162,2
Chil,97,1
Cryi,97,1
Venice,97,1
Kanto,97,1
Sawdust,97,1
Shrek,97,1
HesTheMetaAfterall,97,1
AJ,97,1
NutWulfxd,97,1
OmegaTurtle,129,1
valentine,146,2
Mønti,129,1
rickyboyo,129,1
Sumi,129,1
Tails.exe,129,1
Seraphim444,129,1
CoVa,129,1
Cookman,129,1
Dućk,129,1
Geraldox,129,1
Zigisfredo,373,5
Derp,129,1
MHunterFE,386,2
KING,839,7
YoKryptic,243,3
CMFP,129,1
TEEJOMP!,129,1
LD Deku,129,1
Dmitrii,129,1
ChillQuillz,129,1
CryoComet,129,1
hyde,129,1
Freddy fax,129,1
Flambo,129,1
MemeMasterM,129,1
Scaff,129,1
Frøst,2,1
Amalthus,3,1
CaptainCarson,101,2
xXBig_Boner_Owner_39Xx,5,1
LMan,5,1
YaBoiJT,264,2
Stronghold,9,1
Sir Luscious Left Foot,394,2
Xx_1tchy_84ll5_xX,26,2
Ra,9,1
BeastModePaul,398,2
Zozo3804,13,1
dwizar1,13,1
Dark4orce,17,1
Juami,17,1
milkcup!,17,1
Shdwemp,17,1
Mista-M00,17,1
LocoDz,74,2
Taco Tony,25,1
PatchSlaw7,25,1
Taz,25,1
Sho,25,1
s,25,1
Purin,25,1
Cheesebslls,33,1
a bottle of fiji water,33,1
Ultraasher,33,1
NamiLover,33,1
Chariot,33,1
Von Solo Dragon,33,1
Sonic_Arrow,33,1
SrJorjoroY,33,1
TheChosen1,33,1
Stage Hazard,33,1
TapuCocoa,33,1
Bloomy,49,1
BigBoss,82,2
MasterKill,49,1
Radiance!,49,1
Trig Daddy,49,1
Ketra,49,1
TheXDestroyer,49,1
Capsid,49,1
Chris,49,1
JDV,49,1
Jr,49,1
Kyë,65,1
duchy101,65,1
GAME,65,1
Selegna,65,1
HACHi,82,2
Blue Ninja,65,1
Edog11,65,1
Atakan,65,1
Bradurjen,65,1
Noodles,387,3
Slinky,258,2
Son+,65,1
Karbles,65,1
Kit,65,1
Leonine,65,1
MAC,65,1
Nalga,1,1
Yael,2,1
MissyyMayy,5,1
SickeningFever,5,1
vacaTHEkiller,7,1
MrM,7,1
Javi,9,1
Edu,26,2
YIGA,34,2
cesarXfire,9,1
Sout,135,3
JR.,13,1
Gohan McCloud,13,1
Celtic,17,1
SBx|Lenroy,17,1
nava,17,1
Zword,17,1
RadioOvni,19,2
Pi,17,1
Topo,17,1
Paulovsky,25,1
Namiko_Z,25,1
Lexissu,25,1
Gravity,25,1
Many,74,2
JoseGP2077,25,1
Kael,90,2
Gokunzalez,33,1
Silver,40,2
Litt,66,2
DNY,33,1
Wazamamerto,33,1
|Ceballos|,33,1
Shawnz,33,1
Istva,148,4
RichrRo,33,1
EmmaHG,33,1
Teek,33,1
Gungnir,58,2
TitoR,33,1
Lucas,33,1
Yagui,49,1
Tsuna,434,2
Pollux,49,1
TYR,114,2
Jero,49,1
BandanaSW,49,1
Ikesaac,49,1
Kazuhira,49,1
GenuineProphet,49,1
Guilheww,146,2
R De Alma,49,1
Mayoneso,49,1
Rito26,49,1
Winijumbo,114,2
IsraZX,65,1
SBX/STR Rocket,65,1
Tyvant,65,1
Delg,65,1
Xerzal,14,2
Neutral,132,2
Rozden,4,1
Skittles,5,1
Lapras,295,3
AC3GAM3R,7,1
skeptical,7,1
Taka,9,1
Doogy,9,1
L.A.W,9,1
SIke,9,1
PlusleGod,206,2
Snowski,13,1
nano,13,1
Lilac,13,1
Cedric,17,1
squirrel,17,1
MainEvent,17,1
zickser,17,1
Puchi,17,1
Kelsey,17,1
Cyphn,17,1
Strato,17,1
ReeBassist,25,1
NiceOneBakery,154,2
Straitblanchin,25,1
noots,25,1
Trojan,122,2
Mako,25,1
Skype/tenshinX,25,1
suzie crabgrass,218,2
Seventh Deven,33,1
Pi9876,33,1
-HP-,33,1
Frog,98,2
Pazuzu,33,1
TDSP,66,2
cgt,66,2
Gamer,33,1
0-2 andy,33,1
Star,33,1
Cortex,46,2
KarZ,33,1
JJTheB,82,2
Buff Mac,439,3
Supermario,49,1
Neki,49,1
RandomEDay,49,1
heyman112,82,2
Hshadic123,49,1
Desk,1,1
RyzenNess,2,1
aquaze,28,2
Falkion,5,1
Dark Falcon,5,1
Sweshi,169,3
Yrc,7,1
BroKen,75,3
StriderX,9,1
Poncho,9,1
ZeppPuff,9,1
Deliboid,13,1
Grimturtle,13,1
Bmm404040,13,1
Lavender,13,1
Ikana,22,2
BiscQuit,17,1
Moxie,17,1
pluie,17,1
_ZoroCR_,17,1
Lenks,17,1
SATA,25,1
Saturnn,25,1
fatcat,25,1
Antithesis,25,1
Miruku,25,1
Mr.Raisin,25,1
Oni,33,1
DustyNuts,33,1
| Mudskip,418,2
Soy,418,2
Goofy,33,1
KuNoah,33,1
Mathematics,33,1
nazura,420,3
ANJELLOH,130,2
Frost,33,1
Shatdabot,33,1
Raptor,33,1
Eyas,33,1
Gunker,49,1
Mugiwara,49,1
hollow,49,1
Mabel,50,2
Am3thyst,49,1
FoughtHBoxWithNoLan,178,2
MrWii,49,1
Conch,49,1
Sebydoodle,49,1
Dawsk,49,1
Biscotto,49,1
CK,49,1
peparony,90,2
Gold,65,1
Leonfe,98,2
RaysRedemption,82,2
Mr Hokckey,65,1
Legend,65,1
Rabo,90,2
E-Gar,65,1
Soul Breaker,65,1
Mr.meme,65,1
MikeyProHD,65,1
RIPE BANANA,65,1
KaizokuLizzy,65,1
Kebling,194,2
SQUALL,65,1
wow!,65,1
CappuGeno,65,1
Asimmi,65,1
Amarantha,65,1
Breeze,65,1
Legoguy,97,1
okoop6,97,1
Ziggens,122,2
Prunz,97,1
Sharpedo43,180,4
Treachery,97,1
Gr3ase_M0nkey,97,1
Nagisa,146,2
jo,386,2
Babino,2,1
Safzai,3,1
Sky,4,1
Euphoria,54,2
Fhantum,54,2
_trey5,40,2
Radical,9,1
| Schiikk15,9,1
Arcus,9,1
jason,13,1
Trips,13,1
SmilEyOmLet,13,1
NoNeptune,26,2
Astori,17,1
diamondupree,179,3
Vykedaddy,179,3
NT,30,2
RiasMemeGod,66,2
Noxl,17,1
Orasorb,25,1
| Future Doctor,25,1
Golli,25,1
Hockey,25,1
Salad,58,2
Densetsu,66,2
Maj0ra,33,1
LiteralSoyYo,66,2
T-sizzle,33,1
Cott'n,33,1
Risk,98,2
Minejack777,33,1
KaGe,33,1
mellohi,33,1
rekt_dim,49,1
T3 DOM,1,1
Venus,2,1
YMCA,3,1
K9sbruce,4,1
Phoenix,22,2
White Nova,5,1
Linky,7,1
AC,7,1
| Kyros,9,1
M.M.Leo,9,1
Floppeh,9,1
?,9,1
Jesse Water,13,1
BashLuv,13,1
Shangrai,13,1
TheeR3dFox,13,1
Abe,17,1
JustOmega#8404,17,1
SoulX,17,1
Skydra,17,1
perc lord,17,1
Ace!,17,1
danlistoo,17,1
FrontalHornet08,17,1
Spanky,25,1
ChaseMe,25,1
Lenny,25,1
LaV,282,2
Tearbear,25,1
Simple Soul,25,1
Fluteloops,25,1
VG,33,1
ceej,33,1
Silla,33,1
Katz,33,1
Eggie,33,1
Beef,33,1
Pan Dulce,33,1
JoMammis,33,1
Yogi,33,1
miko,33,1
Phire,33,1
Zenokids,33,1
Tenebrae,33,1
KALi,226,2
Nem,33,1
A Pile Of Bacon,33,1
Gir,49,1
Lavabeast,49,1
ReddWolfe,49,1
